Name,City,Experience,Employment,Salary
Инженер-программист,Екатеринбург,От 1 года до 3 лет,Полная занятость,80000
Программист Python,Уфа,От 3 до 6 лет,Полная занятость,175000
Senior backend developer,Севастополь,Более 6 лет,Полная занятость,275000.0
Разработчик встраиваемых систем,Москва,От 3 до 6 лет,Полная занятость,200000
Инженер-электронщик (Middle),Екатеринбург,От 3 до 6 лет,Полная занятость,125000.0
"Математик-программист (BackEnd, Qt)",Москва,От 3 до 6 лет,Полная занятость,250000.0
Программист C++17 (разработка медицинского оборудования),Москва,От 3 до 6 лет,Полная занятость,235000.0
Инженер-программист,Тюмень,От 3 до 6 лет,Полная занятость,100000
Инженер-программист,Саратов,От 1 года до 3 лет,Полная занятость,100000.0
Инженер-разработчик,Иркутск,От 1 года до 3 лет,Полная занятость,75000.0
Ведущий инженер-программист по сетевым технологиям,Нижний Новгород,Более 6 лет,Полная занятость,250000
Консультант Отдела автоматизации и информационно-аналитического обеспечения УИАТ,Томск,От 3 до 6 лет,Полная занятость,60500.0
Разработчик встроенного ПО,Йошкар-Ола,От 1 года до 3 лет,Полная занятость,120000.0
Программист,Саратов,От 1 года до 3 лет,Полная занятость,100000
Инженер-программист,Рязань,От 1 года до 3 лет,Полная занятость,90000
Junior Go Developer,Ростов-на-Дону,От 1 года до 3 лет,Полная занятость,80000
Junior Backend Developer (Младший программист),Москва,От 1 года до 3 лет,Полная занятость,60000
Программист-разработчик,Пенза,Нет опыта,Полная занятость,50000
Junior SQL developer,Санкт-Петербург,Нет опыта,Полная занятость,50000
Manual QA / Ручной тестировщик,Москва,От 1 года до 3 лет,Полная занятость,100000
Golang developer junior+,Москва,От 1 года до 3 лет,Полная занятость,135000.0
Логист/Customer service department,Ташкент,Нет опыта,Полная занятость,169750.0
Go Developer,Москва,От 1 года до 3 лет,Полная занятость,135000.0
Middle Python developer (FastAPI),Москва,От 1 года до 3 лет,Полная занятость,215000.0
Backend-разработчик,Краснодар,От 1 года до 3 лет,Полная занятость,130000
Junior Android developer,Москва,Нет опыта,Полная занятость,100000.0
Junior/Middle DevOps Engineer,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,140000
Аналитик,Ижевск,От 1 года до 3 лет,Полная занятость,100000
Разработчик C# .net на backend игрового приложения (удаленно или в офис на выбор),Уфа,От 1 года до 3 лет,Полная занятость,100000
Python разработчик,Москва,От 3 до 6 лет,Полная занятость,220000
Middle разработчик,Новочеркасск,От 1 года до 3 лет,Полная занятость,100000
Инженер-программист,Комсомольск-на-Амуре,От 1 года до 3 лет,Полная занятость,110000.0
Senior Backend Developer (PHP),Москва,От 3 до 6 лет,Полная занятость,400000
Golang Backend Developer,Москва,От 1 года до 3 лет,Полная занятость,600000
C++ developer to Berlin,Берлин,Нет опыта,Полная занятость,907533.0
Go/Python-разработчик в команду DataMining (middle),Курск,От 1 года до 3 лет,Полная занятость,100000.0
Junior/Junior+ PHP Разработчик (Junior/Junior+ PHP Backend Developer),Ташкент,От 1 года до 3 лет,Полная занятость,56000.0
Junior / Middle PHP Developer,,От 1 года до 3 лет,Полная занятость,140000.0
Go-разработчик в команду DataMining (junior),Курск,От 1 года до 3 лет,Полная занятость,50000.0
Frontend на Vue разработчик Интеллектуальной Транспортной Системы,Санкт-Петербург,От 3 до 6 лет,Полная занятость,265000.0
Java-программист,Санкт-Петербург,От 3 до 6 лет,Полная занятость,140
Backend разработчик Node.JS (middle),Нижний Новгород,От 1 года до 3 лет,Полная занятость,180000
DevOps инженер,,От 1 года до 3 лет,Полная занятость,300000
Fullstack разработчик,Челябинск,От 3 до 6 лет,Полная занятость,45000.0
Project manager,Москва,От 1 года до 3 лет,Полная занятость,225000.0
DevOps Engineer (Intern \ Junior),Воронеж,Нет опыта,Полная занятость,120000
"Front-end developer (React, crypto)",Минск,От 3 до 6 лет,Полная занятость,364000
Middle Python/Go разработчик,Москва,От 1 года до 3 лет,Полная занятость,125000.0
Инженер по тестированию на проникновение / Пентестер,Москва,От 1 года до 3 лет,Полная занятость,170000.0
Director of Education Abroad Agency - International Student Services,Ташкент,От 1 года до 3 лет,Полная занятость,113750.0
Backend-developer (NodeJS/JS/ES6),Москва,От 1 года до 3 лет,Полная занятость,222500.0
